Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
4/25/23,00:53:29,4,30.8598,-114.394,2.7,"46 km al SURESTE de SAN FELIPE, BC",25/04/2023,06:53:29,revisado
4/26/23,19:43:37,4,15.7847,-94.9423,18.3,"52 km al SURESTE de SALINA CRUZ, OAX",27/04/2023,01:43:37,revisado
4/27/23,01:43:29,4,17.4303,-94.7285,145,"56 km al SURESTE de SAYULA DE ALEMAN, VER",27/04/2023,07:43:29,revisado
4/28/23,00:53:53,4.6,19.4977,-108.241,8.4,"338 km al SUROESTE de PUERTO VALLARTA, JAL",28/04/2023,06:53:53,revisado
4/29/23,01:30:26,4.2,14.2457,-92.2705,10,"50 km al SUR de CD HIDALGO, CHIS",29/04/2023,07:30:26,revisado
4/30/23,01:21:02,4,16.947,-96.6383,61.3,"11 km al SURESTE de S ANTONIO DE LA CAL, OAX",30/04/2023,07:21:02,revisado
5/1/23,00:38:44,4.1,13.81,-93.11,13.1,"142 km al SUROESTE de CD HIDALGO, CHIS ",01/05/2023,06:38:44,verificado
5/2/23,04:00:00,4.2,15.68,-92.52,153.6,"41 km al OESTE de FRONTERA COMALAPA, CHIS ",02/05/2023,10:00:00,verificado
5/3/23,00:51:13,4,15.29,-94.82,17,"106 km al SURESTE de SALINA CRUZ, OAX ",03/05/2023,06:51:13,verificado
5/4/23,03:19:06,4,15.43,-92.02,212.4,"26 km al NORESTE de MOTOZINTLA, CHIS ",04/05/2023,09:19:06,verificado
5/5/23,01:41:07,4.2,28.04,-112.14,10,"78 km al NORTE de SANTA ROSALIA, BCS ",05/05/2023,07:41:07,verificado
5/6/23,01:34:52,4,26.2,-103.31,10,"48 km al NORTE de FCO I. MADERO, COAH ",06/05/2023,07:34:52,verificado
5/7/23,03:54:23,4,15.97,-96.92,12.2,"20 km al NORESTE de PUERTO ESCONDIDO, OAX ",07/05/2023,09:54:23,verificado
5/8/23,01:05:53,4.2,14.87,-94.27,17.4,"145 km al SUROESTE de TONALA, CHIS ",08/05/2023,07:05:53,verificado
5/9/23,00:16:55,4.2,16.11,-97.5,8.9,"13 km al NOROESTE de RIO GRANDE, OAX ",09/05/2023,06:16:55,verificado
5/10/23,00:01:38,4,15.14,-94.61,16.8,"131 km al SURESTE de SALINA CRUZ, OAX ",10/05/2023,06:01:38,verificado
5/11/23,08:01:14,4,15.38,-94.56,11,"112 km al SURESTE de SALINA CRUZ, OAX ",11/05/2023,14:01:14,verificado
5/12/23,00:59:56,4,18.63,-102.95,7.1,"28 km al SURESTE de COALCOMAN, MICH ",12/05/2023,06:59:56,verificado
5/13/23,01:27:56,4.2,15.61,-94.97,21.9,"68 km al SURESTE de SALINA CRUZ, OAX ",13/05/2023,07:27:56,verificado
5/14/23,07:17:09,4.1,17.19,-94.03,169.3,"64 km al NOROESTE de CINTALAPA, CHIS ",14/05/2023,13:17:09,verificado
5/15/23,07:35:01,4.2,18.47,-92.84,27.5,"22 km al SUROESTE de FRONTERA, TAB ",15/05/2023,13:35:01,verificado
5/16/23,02:11:04,4.2,25.3,-109.87,15.8,"98 km al SUROESTE de AHOME, SIN ",16/05/2023,08:11:04,verificado
5/17/23,02:34:16,4.1,15.33,-94.79,18.2,"103 km al SURESTE de SALINA CRUZ, OAX ",17/05/2023,08:34:16,verificado
5/18/23,00:29:28,4.1,15.4,-93.53,78.5,"46 km al SUROESTE de PIJIJIAPAN, CHIS ",18/05/2023,06:29:28,verificado
5/19/23,02:36:21,4,18.11,-103.33,9.7,"76 km al SUR de COALCOMAN, MICH ",19/05/2023,08:36:21,verificado
5/20/23,00:59:28,4.1,19.77,-105.63,9.9,"102 km al SUROESTE de PUERTO VALLARTA, JAL ",20/05/2023,06:59:28,verificado
5/21/23,00:29:31,4.3,23.1,-100.14,10,"75 km al NORTE de CERRITOS, SLP ",21/05/2023,06:29:31,verificado
5/22/23,02:32:56,4,14.42,-93.11,17.7,"105 km al SUROESTE de HUIXTLA, CHIS ",22/05/2023,08:32:56,verificado
5/23/23,10:07:53,4,15.83,-97.02,5.3,"6 km al SURESTE de PUERTO ESCONDIDO, OAX ",23/05/2023,16:07:53,verificado
5/24/23,02:00:42,4,17.95,-102.06,10,"15 km al ESTE de CD LAZARO CARDENAS, MICH ",24/05/2023,08:00:42,verificado
5/25/23,06:50:16,4.3,29.87,-114.21,5.3,"142 km al SURESTE de SAN FELIPE, BC ",25/05/2023,12:50:16,verificado
5/26/23,14:18:32,4,15.58,-93.88,27.6,"58 km al SUR de TONALA, CHIS ",26/05/2023,20:18:32,verificado
5/27/23,01:52:24,4.1,16.16,-100.59,10,"108 km al SUROESTE de ACAPULCO, GRO ",27/05/2023,07:52:24,verificado
5/28/23,04:26:15,4.2,18.18,-100.87,51.7,"29 km al SUROESTE de CD ALTAMIRANO, GRO ",28/05/2023,10:26:15,verificado
5/29/23,07:59:09,4.2,15.73,-93.47,100.8,"28 km al OESTE de PIJIJIAPAN, CHIS ",29/05/2023,13:59:09,verificado
5/30/23,09:01:28,4.2,17.1,-95.14,114.9,"27 km al NOROESTE de MATIAS ROMERO, OAX ",30/05/2023,15:01:28,verificado
5/31/23,02:30:28,4,15.28,-95.63,15.1,"77 km al SURESTE de CRUCECITA, OAX ",31/05/2023,08:30:28,verificado
6/1/23,01:32:03,4,15.63,-95.03,16.1,"63 km al SURESTE de SALINA CRUZ, OAX ",01/06/2023,07:32:03,verificado
